title,title_sentiment_score,text_sentiment_score,date,rating,review
" Not a sequel I liked
",-0.3252,0.7327,2021-03-11 00:00:00,6,"Improves towards the end, but for the most part 'Pitch Perfect 2' is a disappointing sequel.I wouldn't say it's anything bad, but even soon after viewing I am struggling to remember any good moments from it. I found the cast and music to be the big plus points to 'Pitch Perfect', though both of those things are off in this follow-up.Anna Kendrick (Beca) doesn't really do anything, at least very little that's even close to being memorable. Skylar Astin (Jesse) takes a back seat, which I don't actually think is a negative. Adam Devine (Bumper) and Rebel Wilson (Fat Amy) aren't as amusing, though the story featuring those two probably did interest me most. Hailee Steinfeld, meanwhile, is an alright addition.Not a sequel I liked. Hopefully the third film improves upon this."
" Pitch Perfect 2
",0.5719,0.9987,2021-01-30 00:00:00,5,"The first movie was a surprise big hit, and I was pleasantly surprised by it myself, it was inevitable that a sequel would follow, and I was looking forward to it, produced and directed by Elizabeth Banks. Basically, it has been three years since the Bellas, from Barden University, won the International Championship of Collegiate A Cappella (ICCAC), they are now led by senior Beca Mitchell (Anna Kendrick) and three-time super senior Chloe Beale (Brittany Snow). They have been successful champions for each of these three years. But the group's reputation when they cause a national scandal dubbed ""Muffgate"" when Patricia ""Fat Amy"" Hobart (Rebel Wilson) accidentally rips her pants in front of U.S. President Barack Obama during a performance on his birthday at the Kennedy Center, and not wearing underwear showing her genitalia to the public. Following this, the Bellas are suspended from the ICCAs. Beca makes a deal to clear their name and to be reinstated if they win the World Championship of Acappella. Competition commentators John Smith (John Michael Higgins) and Gail Abernathy-McKadden-Feinberger (Elizabeth Banks) laugh at the idea, as America has never won because everyone hates the USA. College freshman Emily Junk (Hailee Steinfeld) is hoping to follow in the footsteps of her mother, Katherine (Futurama's Katey Sagal), by becoming a Bella herself. At orientation, she watches an Acappella performance by the Treblemakers, now led by Beca's boyfriend Jesse Swanson (Skylar Astin). Benjamin ""Benji"" Applebaum (Ben Platt), Jesse's best friend, overhears Emily and develops a crush on her. The Bellas learn that German powerhouse group Das Sound Machine (DSM) has replaced the Bellas on their victory tour. Also, Beca has started an internship at a recording studio, Residual Heat, and only Jesse, and later Fat Amy, know about it. Initially Beca only serves to bring coffees and run errands, but she later impresses her boss, rude but successful music producer Sammy (Keegan-Michael Key), when she helps with suggestions to improve a new Snoop Dogg Christmas album. Emily goes to the Bellas' sorority house to audition for them, singing her unfinished song ""Flashlight"". They are impressed and she succeeds in joining the Bellas. The Bellas meet DSM when they are performing at a car show. DSM, led by intimidating duo Pieter Krämer (Flula Borg) and Kommissar (Birgitte Hjort Sørensen), take delight in mocking the all-girl group. Later, the Bellas are invited to an exclusive riff-off, hosted by Sir Willups Brightlysmore (David Cross), against DSM. Also attending are the Treblemakers, the Tone Hangers (a group composed of former Treblemakers, including former Treblemakers leader Bumper Allen (Adam Devine), whom Amy is now dating), and the Green Bay Packers. The Bellas make it to the final two but end up losing to DSM in the final showdown after Emily panics and sings ""Flashlight"", and original songs are not accepted. The next day at the warmups, disaster strikes for the Bellas, ruining their chances of winning, when Cynthia Rose Adams (Ester Dean) has her hair catch fire after their incorporation of pyrotechnics in their performance. To regain harmony, Chloe takes them to a retreat led by former leader Aubrey Posen (Anna Camp). Beca starts a heated debate with Chloe over Chloe's obsession with winning Worlds, angrily accusing none of the other Bellas of thinking about their futures. Meanwhile, the Bellas realise that they may go their separate ways after graduation and sing together to regain harmony. Amy confesses that she broke up with Bumper, though she rows a boat across a lake to reach him, singing an apology song, they reconcile and restart their relationship. Beca's boss has been unimpressed with everything she has presented to him so far. To prove him wrong, Beca shows him the demo of Emily singing ""Flashlight"", which she hopes to produce. He expresses envy for their talent and says he looks forward to working with them. The senior Bellas head off to Copenhagen for the World Finals. Before the Bellas' performance, Emily and Benji share a kiss, officially becoming a couple. The Bellas' performance ends with a harmonised version of ""Flashlight"" with Aubrey, Katherine, and other past Bellas joining them onstage. The Bellas win the championship and repair their damaged legacy. As the Bellas leave Barden, they give Emily a belated proper initiation. The end also sees Bumper performing ""All of Me"" on The Voice, for judges Adam Levine, Christina Aguilera , Pharrell Williams, and Blake Shelton; he chooses Christina Aguilera as his coach and makes her uncomfortable when he gives her a lengthy hug. Also starring Alexis Knapp as Stacie Conrad, Hana Mae Lee as Lilly Onakuramara, Chrissie Fit as Florencia ""Flo"" Fuentes, Kelley Jakle as Jessica Smith, Shelley Regner as Ashley Jones, Joe Lo Truglio as Tone Hangers, The Late Late Show's Reggie Watts as Tone Hangers, Kay Cannon as Newscaster Connie, Jimmy Kimmel as himself, and The View hosts Rosie O'Donnell and Rosie Perez as themselves. Kendrick as the new leader and the would-be music producer is good, Steinfeld is a very good addition to the gang, there is fun support from Devine, Cross and the many celebrity, but again it is Wilson who stands out with her big eccentric personality. It is another simple story, a disgraced acapella group wanting to restore their reputation by winning a big competition, it again has clichés and stereotypical characters, the script and pace has its ups and downs, but you cannot deny it will make you laugh, and the singing and soundtrack is great, an enjoyable musical comedy. Worth watching!"
" Lacking
",0.0,0.887,2020-12-10 00:00:00,6,"Like nearly all sequels the first is always the best! I enjoyed seeing the entire team back in action, It was nice having the quirky jokes and I always love the singing. But it was very lacking. The storyline was disappointing and it felt very forced instead of natural. They needed something more original instead of trying to redo the first movie. And German's? Really? I feel like that card is over played. And how do they just ""lose their sound"" They found it in the first movie after losing it. Couldn't they have come up with something more original for this movie?"
" While ""Pitch Perfect 1"" was adorable, funny and unexpected, this sequel is almost horrible
",0.7645,0.9609,2020-09-13 00:00:00,5,"The sequel doesn't have one central character. The 'Bellas' group here struggles to regain its reputation after an incident labeled by the press as 'Muffgate'. So, it is an ensemble comedy that mostly gives equal time to several of the 'Bellas' while Hailee Steinfeld's rookie introducing a whole new set of Bellas for ""Pitch Perfect 3"" to come. The star of the first film, Rebel Wilson is given more to do, but here she is too often a 'rebel' without a cause, as she lazily mumbles through some improvised shtick. Kendrick boyfriend Skylar Astin, the magic-obsessed Ben Platt and 'Bumper' are mostly minor and supportive characters. Ultimately, the plot is incredibly contrived, the humor falls flat, there are barely any characterizations. Basically, this one lacked the charm and originality of the first ""Pitch Perfect"". With such an arsenal of acting talent and popularity, it seems a shame the franchise moved into familiar sequel territory of shallow theatrics. If a second/third encore happens, it will be likely that the players will be returning to a much diminished audience. Pretty unnecessary movie.Rating: 5"
" Ruined by casual racism
",-0.7506,-0.906,2020-09-01 00:00:00,4,"This is a mildly entertaining sequel ruined for me by all of the casual racism and stereotyping.Obviously the rude roommate, butch, lesbian unable to keep her hands to herself and token weird Asian weren't enough so the addition of a Guatemalan lady whose only job is to spout things about being deported, being kidnapped.The commentators during the Bella's performances are awful too. Yes, I get they are purposely sexist etc. but it doesn't work at all for me.Also the 'original' song one of the new Bellas has written confused me as it sounds just like Titanium.There's a lot more wrong with it which I'm too lazy to go into, I won't be watching the next one."
" DSM runs the show
",0.0,0.9446,2020-08-13 00:00:00,10,I love this film. It's so good. DSM are amazing and sexy.
" Toilet !
",0.0,0.6166,2020-07-24 00:00:00,3,"This film is toilet, seen 2 reviews in a row with 10s WTF have people been watching did not know what it was about. But if they gave it a ten what they give Debbie does Dallas. Or deep throat. I love a film with a climax."
" Pitches
",0.0,0.5414,2020-07-20 00:00:00,6,"About the same time as the first one, not really that funny but some small laughs at some points."
" Within 5 minutes, Thud. Not recommended.
",-0.1511,-0.4199,2020-07-20 00:00:00,1,"The first movie was fun. This one is garbage. Within the first few minutes I left. It actually became political (stunner, I know!)Grow up Hollywood and stop with the political propaganda. It's embarrassing."
" Great movie but the Germans were better.
",0.7506,-0.4939,2020-07-15 00:00:00,9,Das Sound Machine destroyed the Bella's at the finale...no idea how the Bella's got first place.
